,player_id,minutes,appearences,lineups,substitute_in,substitute_out,substitutes_on_bench,goals,assists,saves,inside_box_saves,dispossesed,interceptions,yellowcards,yellowred,redcards,tackles,blocks,hit_post,fouls_committed,fouls_drawn,crosses_total,crosses_accurate,dribbles_attempts,dribbles_success,dribbles_dribbled_past,duels_total,duels_won,passes_total,passes_accuracy,passes_key_passes,penalties_won,penalties_scores,penalties_missed,penalties_committed,penalties_saves,name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,334,22,2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,88,0,0,0,0,0,0,Cahill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,496,75,4,0,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,5,1,1,14,5,36,178,2,0,0,0,0,0,Moses
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,510,650,12,6,6,1,15,0,2,0,0,0,5,1,0,0,9,2,0,5,4,9,2,2,1,16,52,20,752,266,22,0,0,1,0,0,Fabregas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,798,1982,42,19,23,7,33,13,10,0,0,0,3,1,0,0,5,2,1,34,24,3,0,13,4,14,237,110,401,242,40,1,0,0,0,0,Giroud
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drinkwater
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,968,2265,42,24,18,15,30,5,6,0,0,0,16,4,0,0,19,3,2,26,49,9,1,50,31,15,269,136,1517,270,40,0,1,0,0,0,Barkley
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1128,3276,37,37,0,3,7,4,5,0,0,0,43,6,0,0,54,2,7,36,43,114,13,43,22,28,391,220,1922,257,36,2,0,0,1,0,Alonso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1193,3777,48,43,5,6,8,4,4,0,0,0,54,5,0,0,54,10,0,46,21,24,8,65,37,53,416,180,2119,269,51,0,0,0,0,0,Kante
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1317,3141,49,38,11,25,16,8,13,0,0,0,19,2,0,0,29,3,6,21,51,263,73,100,68,28,340,177,1526,248,118,1,1,0,0,0,Emerson
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1330,4260,50,47,3,3,4,1,5,0,0,0,61,6,0,0,79,19,0,47,21,138,25,23,10,38,410,249,2684,253,32,2,0,1,1,0,Azpilicueta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1331,2926,37,32,5,8,5,16,15,0,0,0,11,2,0,0,9,0,3,12,104,145,34,199,132,12,477,269,1536,83,97,1,4,0,0,0,Hazard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1333,3959,44,44,0,1,7,3,2,0,0,0,40,4,0,0,33,28,2,42,34,7,1,18,11,8,325,188,2819,260,23,0,1,0,0,0,Luiz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1440,540,6,6,0,0,50,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,252,0,0,0,0,0,0,Caballero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1923,2793,46,33,13,21,16,13,5,0,0,0,25,3,0,0,23,2,1,32,36,91,21,88,59,33,306,146,1407,269,52,0,0,0,0,0,Pedro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1953,1786,37,15,22,8,25,10,5,0,0,0,16,1,0,0,21,5,0,18,46,5,2,131,85,15,330,186,980,272,31,1,0,0,0,0,Loftus-Cheek
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4460,2129,25,23,2,1,25,0,1,0,0,0,25,3,0,0,13,8,0,18,14,1,0,4,4,5,171,107,1643,278,4,0,0,0,0,0,Christensen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12542,287,5,3,2,1,9,0,0,0,0,0,6,0,0,0,3,0,0,2,1,0,0,0,0,2,15,10,217,182,2,0,0,0,0,0,Ampadu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,31837,3414,39,39,0,3,6,1,1,0,0,0,35,9,0,0,21,9,1,34,21,1,0,5,5,12,288,157,2817,274,8,0,0,0,0,0,Rudiger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,73147,2810,46,33,13,23,18,0,2,0,0,0,21,4,0,0,46,5,1,30,60,10,1,101,77,40,393,230,2239,273,31,0,0,0,0,0,Kovacic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,129440,953,16,10,6,2,29,0,1,0,0,0,15,1,0,0,6,2,0,9,5,56,10,24,10,5,77,32,562,254,12,0,0,0,0,0,Zappacosta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,129501,1092,14,13,1,8,2,5,0,0,0,0,1,0,0,0,7,0,2,6,2,2,0,21,9,10,91,28,244,77,15,0,0,0,0,0,Higuain
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,129511,3976,50,46,4,12,8,2,0,0,0,0,82,8,0,0,51,9,0,42,34,2,1,34,20,64,356,176,3411,260,38,0,2,0,0,0,Jorginho
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,129660,1256,21,15,6,10,8,9,0,0,0,0,1,4,0,0,6,1,0,24,17,5,0,13,6,6,143,56,233,244,13,0,0,0,0,0,Morata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,129794,1751,22,19,3,0,10,0,2,0,0,0,21,1,0,0,22,3,0,18,25,64,10,48,35,8,183,107,1097,266,19,0,0,0,0,0,Willian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,186606,4500,50,50,0,0,4,0,0,102,57,0,0,3,0,0,1,0,0,0,5,0,0,1,1,1,18,16,1212,268,0,0,0,0,0,2,Arrizabalaga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,581215,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cumming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,581216,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McEachran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1494245,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gallagher
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2875858,1003,21,10,11,4,15,5,5,0,0,0,4,0,0,0,13,0,1,6,16,50,13,65,51,4,140,89,469,256,28,0,0,0,0,0,Hudson-Odoi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4536500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guehi
